productName,productSize,weightType,basePrice
Onion Powder 5lb,80,oz,$17.54 
Onion Salt,32,oz,$5.11 
Onion Salt 10lb,160,oz,$16.20 
"Onion, Chopped",12,oz,$4.42 
"Onion, Chopped 4lb",64,oz,$14.02 
"Onion, Granulated",22,oz,$6.35 
"Onion, Granulated 7lb",112,oz,$23.94 
Orange Peel,16,oz,$8.60 
Orange Peel 5lb,80,oz,$34.03 
"Oregano, Cut & Sifted",5,oz,$3.36 
"Oregano, Cut & Sifted 1.25lb",20,oz,$9.61 
"Oregano, Mexican",4,oz,$4.24 
"Oregano, Mexican 1lb",16,oz,$10.20 
"Paprika, Hungarian",22,oz,$8.72 
"Paprika, Hungarian 25lb",400,oz,$138.00 
"Paprika, Smoked - Hot",22,oz,$12.30 
"Paprika, Smoked - Sweet",22,oz,$7.80 
"Paprika, Smoked - Sweet 5lb",80,oz,$29.88 
"Paprika, Spanish",18,oz,$5.75 
"Paprika, Spanish 25lb",400,oz,$70.18 
"Paprika, Spanish 5lb",80,oz,$16.70 
Parsley,12,oz,$8.21 
Parsley 3lb,48,oz,$20.90 
Pepper Blend 12,20,oz,$9.82 
"Pepper, Black - Butcher (coarse)",16,oz,$8.83 
"Pepper, Black - Butcher (coarse) 5lb",80,oz,$31.03 
"Pepper, Black - Gourmet (café) 25lb",400,oz,$131.76 
"Pepper, Black - Gourmet (café) 5lb",80,oz,$32.28 
"Pepper, Black - Table (fine) 5lb",80,oz,$32.28 
"Pepper, Cayenne",16,oz,$4.91 
"Pepper, Cayenne 5lb",80,oz,$19.39 
"Pepper, Cracked Black",16,oz,$10.00 
"Pepper, Cracked Black 5lb",80,oz,$32.28 
"Pepper, Lemon",24,oz,$9.10 
"Pepper, Lemon 7lb",112,oz,$38.39 
"Pepper, Red Crushed",14,oz,$4.43 
"Pepper, Red Crushed 4lb",64,oz,$15.79 
"Pepper, Roasted Garlic",24,oz,$9.56 
"Pepper, Roasted Garlic 7lb",112,oz,$38.40 
"Pepper, White Ground",18,oz,$10.55 
"Pepper, White Ground 5lb",80,oz,$42.68 
Peppercorn Blend,16,oz,$10.00 
